Name;Pre-Req;Tier;Power
Whirlwind;Barbarian;Champion;Penalty to AC and PD from Whirlwind is now –2. Disengage attempts after using Whirlwind succeed automatically.
Whirlwind;Barbarian;Epic;Use Whirlwind anytime during your turn now.
Bardic Songs;Bard;Adventurer;Songs continue for one round when you are silenced, stunned, or unconscious.
Battle Cries;Bard;Adventurer;Use your 1st or 3rd level battle cries without making a melee attack.
Balladeer;Bard;Adventurer;First time you use the ballad-created relationship, 5s become 6s. +2 to Balladeer checks.
Balladeer;Bard;Champion;Sing two ballads a day.
Balladeer;Bard;Epic;Gain 3 or 4 bonus dice at the cost of an equal number of cursed dice with each enemy.
Battle Skald;Bard;Adventurer;Once per day, use battle cries on yourself.
Battle Skald;Bard;Champion;Battle cries used on yourself also help an ally.
Battle Skald;Bard;Epic;Once per battle, reroll an attack meant to trigger a battle cry.
Jack of Spells;Bard;Adventurer;Gain 3 cantrips if you choose wizard, gain dancing lights if you choose sorcerer. Also use Charisma for attack and damage bonuses with the spell you’ve jacked.
Jack of Spells;Bard;Champion;Jack another spell from a second other spell-casting class.
Jack of Spells;Bard;Epic;Jack another spell from a third other spell-casting class.
Hang Tough!;Bard;Adventurer;If the ally is staggered, double hang tough temporary hp.
Hang Tough!;Bard;Champion;Add your level to the temporary hp (before any doubling for being staggered).
Hang Tough!;Bard;Epic;You can be the target of hang tough.
It’s All Yours!;Bard;Adventurer;Your ally’s attack also deals +1d6 damage.
It’s All Yours!;Bard;Champion;Damage bonus increases to +3d6.
It’s All Yours!;Bard;Epic;Damage bonus increases to +3d12.
Move It!;Bard;Adventurer;Your allies gain a +2 bonus to move it disengage checks.
Move It!;Bard;Champion;Bonus increases to +5.
Move It!;Bard;Epic;Ally can pop free of one enemy automatically before rolling disengage.
Pull It Together!;Bard;Adventurer;Target ally also heals +1d4 hp per point of escalation die.
Pull It Together!;Bard;Champion;Battle cry now triggers on any natural even roll, healing increases to +1d6 per point.
Pull It Together!;Bard;Epic;Use the battle cry 3 times per battle, healing increases to +1d10 per point.
Stay Strong!;Bard;Adventurer;The AC bonus also applies to PD.
Stay Strong!;Bard;Champion;The AC bonus also applies to MD.
Stay Strong!;Bard;Epic;Bonus increases to +4.
The Time Is Now;Bard;Epic;The battle cry now triggers on a natural 18+ instead of 19+.
They Fall Before Us!;Bard;Epic;The battle cry now triggers on a natural 19+ instead of 20+.
Victory is Ours!;Bard;Champion;Trigger is now 3+ on the escalation die instead of 5+.
Victory is Ours!;Bard;Epic;Allies’ damage bonus is now +3d12.
We Need You!;Bard;Adventurer;The battle cry save now gets a +1 bonus.
We Need You!;Bard;Champion;Save bonus increases to +2.
We Need You!;Bard;Epic;If escalation die is 3+, two allies can roll a save.
Arrow of Verse;Bard;Champion;Recharge after battle is now 11+.
Arrow of Verse;Bard;Epic;Bonus dice and miss dice are now d12s.
Battle Chant;Bard;Adventurer;Use d6s instead of d4s for battle chant damage.
Battle Chant;Bard;Champion;Once per day, expend a recovery to reroll a battle chant attack.
Battle Chant;Bard;Epic;One battle per day, use d10s instead of d6s for battle chant damage.
Befuddle;Bard;Adventurer;Recharge check for befuddle now 6+.
Befuddle;Bard;Champion;Target of befuddle now only needs to be in sight.
Befuddle;Bard;Epic;On a hit, the confusion effect is now save ends.
Overworld Two-Step;Bard;Champion;Recharge check is 11+.
Overworld Two-Step;Bard;Epic;Far away allies can now also have their positions swapped.
Song of Thunder;Bard;Champion;Number of targets increases to 2d4.
Song of Thunder;Bard;Epic;Two of the targets can now be far away.
Soundburst;Bard;Adventurer;On a natural even hit, the dazed effect is now save ends.
Soundburst;Bard;Champion;Spell is now recharge 16+ after battle.
Soundburst;Bard;Epic;Spell now targets 1d4 + 1 enemies in a group.
Vicious Mockery;Bard;Adventurer;Hit effect is now a save ends effect.
Vicious Mockery;Bard;Champion;Recharge check for vicious mockery now 6+.
Vicious Mockery;Bard;Epic;Natural even miss doesn’t expend vicious mockery.
Wild Heal;Bard;Adventurer;Wild heal is now recharge 16+ after battle.
Wild Heal;Bard;Champion;Add a third random target.
Wild Heal;Bard;Epic;Wild heal effect now provides free recoveries.
Heal;Cleric;Adventurer;Target can now be nearby instead of ally you’re next to.
Heal;Cleric;Champion;If target is unconscious, add 1d10 x your Cha mod to recovery.
Heal;Cleric;Epic;Add +30 hp to recovery if you’re next to target.
Domain: Healing;Cleric;Adventurer;Allies you heal can use your recoveries instead.
Domain: Healing;Cleric;Champion;Invocation of healing provides 2 extra uses of heal that battle.
Domain: Healing;Cleric;Epic;Allies you heal add triple your level hp instead of double.
Domain: Justice OR Vengeance;Cleric;Adventurer;You can give the reroll blessing to yourself.
Domain: Justice OR Vengeance;Cleric;Champion;When you gain a reroll blessing, gain two blessings instead of one.
Domain: Justice OR Vengeance;Cleric;Epic;Gain a +4 bonus to the rerolled attack.
Dom: Knowledge OR Lore;Cleric;Adventurer;Once per day, change knowledge skill roll to natural 20.
Dom: Knowledge OR Lore;Cleric;Champion;Now use a d4 for invocation instead of d6.
Dom: Knowledge OR Lore;Cleric;Epic;Gain a positive relationship point with different random icon each day.
Domain: Life OR Death;Cleric;Adventurer;The death save bonus is now +2.
Domain: Life OR Death;Cleric;Champion;Each battle, the first nearby ally that becomes staggered gains hit points equal to double your level.
Domain: Life OR Death;Cleric;Epic;You gain one free use of resurrection.
Domain: Love OR Beauty;Cleric;Champion;You gain a two-dice conflicted icon relationship instead.
Dom: Protection OR Community;Cleric;Adventurer;One ally can roll a save each time you target allies with a spell.
Domain: Strength;Cleric;Adventurer;Once per battle, deal bonus damage with melee attack, d4s equal to Strength modifier or level, whichever is higher.
Domain: Strength;Cleric;Champion;Damage bonus dice are now d8s instead of d4s.
Domain: Strength;Cleric;Epic;Once per day, the damage bonus dice are d20s instead of d8s.
Domain: Sun or Anti-Undead;Cleric;Adventurer;Your attacks dealing holy damage gain a +1 damage bonus per tier.
Domain: Sun or Anti-Undead;Cleric;Champion;Gain a +2 bonus to all defenses against attacks by undead.
Domain: Sun or Anti-Undead;Cleric;Epic;The Sun/Anti-Undead invocation also affects your allies’ spells.
Domain: Trickery OR Illusion;Cleric;Champion;Your trick die can now be used for any d20 roll.
Domain: Trickery OR Illusion;Cleric;Epic;You get a free use of the trick die when the escalation die reaches 3+.
Domain: War OR Leadership;Cleric;Adventurer;The domain power works with any attack now.
Domain: War OR Leadership;Cleric;Champion;The attack bonus can now apply to multiple enemies you attack.
Domain: War OR Leadership;Cleric;Epic;Your allies also get a damage bonus against the enemies you attack equal to double your Cha mod.
Circle of Prot;Cleric;Epic;Spell is now recharge 16+ after battle instead of daily.
Combat Boon;Cleric;Adventurer;The combat boon save automatically succeeds if the attack is a crit.
Combat Boon;Cleric;Champion;Ally can roll a save even if attack misses.
Javelin of Faith;Cleric;Adventurer;Deals +1d6 damage vs. undamaged target. Increases at each tier.
Javelin of Faith;Cleric;Champion;Spell can now target far away enemy with –2 attack penalty.
Javelin of Faith;Cleric;Epic;Make the spell’s attack a second time when roll a natural 18+.
Judgment;Cleric;Champion;Spell now deals half damage on a miss.
Judgment;Cleric;Epic;Spell is now recharge 16+ after battle instead of daily.
Mighty Healing;Cleric;Champion;This spell is now a close-quarters spell.
Prayer for Readiness;Cleric;Epic;This spell is now a quick action to cast.
Spirits of the Righteous;Cleric;Champion;You also gain the AC bonus.
Turn Undead;Cleric;Adventurer;You can expend turn undead to gain an extra use of heal for one battle.
Turn Undead;Cleric;Champion;Target demons or undead with turn undead.
Turn Undead;Cleric;Epic;Increase target hp limit by 100 hp.
Extra Tough;Fighter;Adventurer;Gain an additional recovery.
Threatening;Fighter;Adventurer;Deal damage to enemies that fail to disengage from you equal to your Dex or Con mod, increases at 5th and 8th level.
Threatening;Fighter;Champion;Non-mook enemies that fail to disengage from you are vulnerable.
Cleave;Fighter;Adventurer;You can move to reach a new target before using your Cleave attack.
Cleave;Fighter;Champion;Use Cleave twice each battle now (but only once per round).
Cleave;Fighter;Epic;Gain a +4 bonus with Cleave attacks.
Comeback Strike;Fighter;Adventurer;You don’t take the –2 penalty for Comeback Strike attacks.
Comeback Strike;Fighter;Champion;Once per day, use Comeback Strike twice in a battle.
Comeback Strike;Fighter;Epic;Gain a +4 bonus with Comeback Strike attacks.
Counter-Attack;Fighter;Adventurer;Counter-Attack attack now deals full damage.
Counter-Attack;Fighter;Champion;Use Counter-Attack once per turn instead of per round.
Counter-Attack;Fighter;Epic;Use Counter-Attack when escalation die is 3+.
Deadeye Archer;Fighter;Adventurer;Spend a quick action before attack to add your Dex mod to the damage if you miss.
Deadeye Archer;Fighter;Champion;Once per battle, your crit range with a ranged attack expands by +4.
Deadeye Archer;Fighter;Epic;Your crit range with ranged weapon attacks expands by +1.
Heavy Warrior;Fighter;Adventurer;Once per day, use Heavy Warrior twice in a battle.
Heavy Warrior;Fighter;Champion;Heavy Warrior now works against an attack vs. PD.
Heavy Warrior;Fighter;Epic;Once per day, reroll a recharge roll for a magic armor power.
Power Attack;Fighter;Adventurer;Deal Power Attack damage even if you miss.
Power Attack;Fighter;Champion;One battle per day, use Power Attack twice in a battle.
Power Attack;Fighter;Epic;Power Attack damage dice increase to 1d6 (1-H) or 1d8 (2-H).
Skilled Intercept;Fighter;Adventurer;You can pop free from up to 2 enemies when using Skilled Intercept.
Skilled Intercept;Fighter;Champion;Add escalation die to Skilled Intercept saves.
Skilled Intercept;Fighter;Epic;You do not take opportunity attacks while using Skilled Intercept.
Tough as Iron;Fighter;Adventurer;Once per day, rally a second time in the same battle using a quick action.
Tough as Iron;Fighter;Champion;Increase your total recoveries by 2.
Tough as Iron;Fighter;Epic;Gain another use of Tough As Iron when you roll a natural 20 with an attack.
A Dozen Cuts;Fighter;Champion;Once per battle, trigger a dozen cuts with a natural odd hit.
Brace for It;Fighter;Adventurer;Brace for it now works against any type of attack.
Brace for It;Fighter;Champion;Brace for it now works any number of times before your next turn.
Carve an Opening;Fighter;Champion;Crit range expands by +2 instead of +1.
Combat Mastery;Fighter;Epic;Combat mastery now triggers on any natural even hit.
Deadly Assault;Fighter;Adventurer;Effect now let’s you reroll 1s and 2s for damage.
Deadly Assault;Fighter;Champion;Deadly assault now triggers on any natural 17+.
Defensive Fighting;Fighter;Adventurer;AC bonus also applies to PD.
Defensive Fighting;Fighter;Champion;Bonus increases to +3.
Defensive Fighting;Fighter;Epic;AC bonus also applies to MD.
Heavy Blows;Fighter;Champion;Triggers on any miss if using two-handed weapon.
Heavy Blows;Fighter;Epic;Add double (1-H) or triple (2-H) the escalation die to miss damage.
Hero’s Skill;Fighter;Champion;Add +4 instead of +2.
Hero’s Skill;Fighter;Epic;The damage is no longer halved if the attack hits.
Never Surrender;Fighter;Epic;Gain a +2 bonus to your never surrender save.
Precision Attack;Fighter;Adventurer;Precision attack now works with ranged attacks.
Punish Them;Fighter;Adventurer;Stop the movement of the target of your punish them attack.
Punish Them;Fighter;Champion;Dazed effect is now a save ends effect (11+).
Punish Them;Fighter;Epic;Dazed effect is now weakened (11+ save ends).
Second Shot;Fighter;Champion;The second shot attack only takes a –2 penalty.
Set ’em Up;Fighter;Epic;The crit range bonus now also applies to any ally who attacks the target while you are engaged with the target.
Shield Bash;Fighter;Adventurer;Can pop the target free of your allies.
Shield Bash;Fighter;Champion;Once per battle, daze your shield bash target if it’s staggered.
Spinning Charge;Fighter;Epic;Your spinning charge attack deals full damage is esc die is 3+.
Steady Now;Fighter;Champion;Gain temporary hp equal to double your Con mod instead.
Strong Guard;Fighter;Champion;AC bonus also applies to PD.
Strong Guard;Fighter;Epic;Bonus increases to +3.
Sword of Destiny;Fighter;Epic;Now trigger sword of destiny with a natural 18+ if the esc die is 3+.
Two-Weapon Pressure;Fighter;Champion;The attack bonus increases to +4.
Smite Evil;Paladin;Adventurer;Gain a +4 attack bonus with Smite Evil attacks.
Smite Evil;Paladin;Champion;Add a total of +2d12 damage with Smith Evil.
Smite Evil;Paladin;Epic;Add a total of +4d12 damage with Smite Evil.
Bastion;Paladin;Adventurer;Increase your total recoveries by 1.
Bastion;Paladin;Champion;Once per day, use Bastion twice in a battle.
Bastion;Paladin;Epic;Your ally takes no damage, you still take half.
Cleric Training;Paladin;Adventurer;Use your Charisma as the attack ability for cleric spells.
Cleric Training;Paladin;Champion;Cast the cleric’s heal spell twice per day.
Cleric Training;Paladin;Epic;Choose 2 cleric spells to gain instead of one.
Fearless;Paladin;Adventurer;Gain a +1 bonus to death saves.
Fearless;Paladin;Champion;Gain a +1 bonus to all saves except death saves.
Fearless;Paladin;Epic;Nearby allies gain a +1 bonus to death saves.
Implacable;Paladin;Adventurer;You gain a +1 bonus to saves.
Implacable;Paladin;Champion;Once per turn, you can take damage equal to your level to reroll a save.
Implacable;Paladin;Epic;You gain a +1 bonus to Physical Defense and a +1 bonus to Mental Defense.
Lay on Hands;Paladin;Adventurer;Add twice your Cha mod to Lay on Hands healing.
Lay on Hands;Paladin;Champion;Lay on Hands healing uses a free recovery instead of one of your own.
Lay on Hands;Paladin;Epic;Two additional uses of Lay on Hands each day.
Paladin’s Chal;Paladin;Adventurer;The attack and disengage penalty is equal to –4 or to the esc. die, whichever is higher
Paladin’s Chal;Paladin;Champion;You can have two enemies challenged at same time.
Paladin’s Chal;Paladin;Epic;Enemies you challenge are vulnerable to your attacks.
Path of URE;Paladin;Adventurer;Once per day, reroll relationship dice with a good or ambiguous icon.
Path of URE;Paladin;Champion;Your melee and ranged attacks deal holy damage.
Path of URE;Paladin;Epic;Gain 1 relationship point with a good or ambiguous icon.
Way of Evil Basd;Paladin;Adventurer;Once per day, reroll relationship dice with evil or ambiguous icon.
Way of Evil Basd;Paladin;Champion;When your Smite Evil attack kills 3 or more mooks, you don’t expend it.
Way of Evil Basd;Paladin;Epic;Gain 1 relationship point with an evil or ambiguous icon.
Archery;Ranger;Adventurer;Gain +2 attack bonus and +1 crit range to Archery rerolls.
Archery;Ranger;Champion;Once per day, use Archery twice in a battle.
Archery;Ranger;Epic;Once per day, turn a hit with a ranged attack into a crit.
Double Melee Attack;Ranger;Adventurer;Gain a +2 bonus with your second attack, if it’s against a different target.
Double Melee Attack;Ranger;Champion;Once per battle, use Double Melee Attack after an odd attack roll.
Double Melee Attack;Ranger;Epic;Pop free of one enemy before a Double Melee Attack roll. Use your move action in between attacks.
Double Ranged Attack;Ranger;Adventurer;Gain a +2 bonus with your second attack, if it’s against a different target.
Double Ranged Attack;Ranger;Champion;Once per battle, use Double Ranged Attack after an odd attack roll.
Double Ranged Attack;Ranger;Epic;Pop free of one enemy before a Double Ranged Attack roll. Use your move action in between attacks.
Favored Enemy;Ranger;Adventurer;Change your favored enemy during a full heal-up.
Favored Enemy;Ranger;Champion;Your crit range vs. favored enemies expands by 1.
Favored Enemy;Ranger;Epic;Choose a second non-humanoid type as favored enemy.
Fey Queen’s Enchantments;Ranger;Adventurer;Choose which ability score to use for sorcerer spells you cast.
Fey Queen’s Enchantments;Ranger;Champion;You can choose from sorcerer at-will spells.
Fey Queen’s Enchantments;Ranger;Epic;Gain an additional sorcerer spell.
First Strike;Ranger;Adventurer;The crit range of your First Strike attacks expands by 1.
First Strike;Ranger;Champion;Once per day, deal triple damage with a First Strike crit.
First Strike;Ranger;Epic;Whenever you hit with a First Strike attack, you can reroll damage and take the best result.
Lethal Hunter;Ranger;Adventurer;Your crit range of Lethal Hunter attacks expands by 1.
Lethal Hunter;Ranger;Champion;Once per day, use Lethal Hunter against two enemies.
Lethal Hunter;Ranger;Epic;If the escalation die is 3+, your Lethal Hunter crits deal triple damage.
Ranger ex Cathedral;Ranger;Adventurer;Cast the cleric class feature heal spell once per battle.
Ranger ex Cathedral;Ranger;Champion;You can choose from cleric at-will spells.
Ranger ex Cathedral;Ranger;Epic;Gain an additional cleric spell.
Ranger’s Pet;Ranger;Adventurer;Your pet gains a third ability.
Ranger’s Pet;Ranger;Champion;Your pet gains a fourth ability.
Ranger’s Pet;Ranger;Epic;Your pet gains a fifth ability.
Tracker;Ranger;Adventurer;Use terrain stunt now in urban environments.
Tracker;Ranger;Champion;You can now track equally well in urban areas.
Tracker;Ranger;Epic;You can now track flying, teleporting, and other difficult to find creatures.
2-Weap Mastery;Ranger;Adventurer;Add your level to damage with missed melee attacks.
2-Weap Mastery;Ranger;Champion;Make an opportunity attack against an enemy who rolls a natural 1 against you with a melee attack.
2-Weap Mastery;Ranger;Epic;One battle per day, add twice your level to damage with missed attacks.
Animal Comp;Ranger;Adventurer;Once per day, companion can attack twice in a round.
Animal Comp;Ranger;Adventurer;Once per day, companion can make an enemy disengage check fail.
Animal Comp;Ranger;Adventurer;Once per day, reroll a companion’s missed attack.
Animal Comp;Ranger;Adventurer;Your companion adds the escalation die to its attacks.
Animal Comp;Ranger;Champion;Once per day, companion can force a reroll that hits it.
Animal Comp;Ranger;Champion;Your Lethal Hunter talent also applies to companion.
Animal Comp;Ranger;Champion;Increase companion’s PD and MD by +1.
Animal Comp;Ranger;Epic;Increase companion’s damage die by one size.
Animal Comp;Ranger;Epic;Increase companion’s AC by +1.
Bear;Ranger;Champion;Gains twice its level in temporary hp with each hit.
Snake;Ranger;Champion;Companion’s ongoing damage increases to 3 x your level.
Snake;Ranger;Epic;Companion’s ongoing damage increases to 4 x your level.
Sneak Attack;Rogue;Adventurer;Sneak Attack now works against lower initiative enemies in first round.
Sneak Attack;Rogue;Champion;Sneak Attack now works against confused, dazed or weakened enemies.
Sneak Attack;Rogue;Epic;Once per battle, replace normal miss damage with Sneak Attack damage.
Trap Sense;Rogue;Adventurer;The attack reroll option can also apply to a nearby ally of the rogue.
Trap Sense;Rogue;Champion;Gain a +3 bonus to skill check rerolls against traps.
Trap Sense;Rogue;Epic;Take only half damage from trap attacks.
Cunning;Rogue;Adventurer;Gain a +1 bonus to MD.
Cunning;Rogue;Champion;Once per battle, reroll a save against an effect that hit you by overcoming your MD.
Cunning;Rogue;Epic;As champion feat, but now reroll saves once per save.
Imp. Sneak Atk;Rogue;Adventurer;Once per day, you can use Sneak Attack vs. an invalid target.
Imp. Sneak Atk;Rogue;Champion;Once per day, roll d20s for your Sneak Attack damage instead of d8s.
Imp. Sneak Atk;Rogue;Epic;One battle per day, ignore the once-per-round limitation for Sneak Attack damage.
Murderous;Rogue;Adventurer;Gain +2 attack bonus vs. staggered enemies.
Murderous;Rogue;Champion;Your crit range vs. staggered enemies expands by 2.
Murderous;Rogue;Epic;Staggered enemies that make melee attacks against you and miss are vulnerable to your attacks.
Shadow Walk;Rogue;Adventurer;On a miss, you can still use your move action normally.
Shadow Walk;Rogue;Champion;Twice per day, reroll an attack following use of shadow walk.
Shadow Walk;Rogue;Epic;Twice per day, return from shadow walk somewhere you wouldn’t have been able to reach.
Smooth Talk;Rogue;Adventurer;Add your Cha mod to your Smooth Talk save.
Smooth Talk;Rogue;Champion;Success with Smooth Talk yields a 3-point positive relationship now.
Smooth Talk;Rogue;Epic;On failed Smooth Talk save, you a get 2-point conflicted relationship.
Thievery;Rogue;Adventurer;Gain thief’s strike as a bonus power.
Thievery;Rogue;Champion;Once per day, deal full damage with a thief’s strike attack instead of half damage.
Thievery;Rogue;Epic;Twice per level, steal with thief’s strike things that can’t normally be stolen.
Tumble;Rogue;Adventurer;Ignore the penalty for disengaging from more than one enemy.
Tumble;Rogue;Champion;One battle per day, succeed on first disengage check each turn.
Tumble;Rogue;Epic;Roll a hard save (16+) to tumble out of critical hits, taking damage equal to attacker’ level instead.
Assassin’s Gambit;Rogue;Epic;Once per turn, gain extra standard action with power if you drop a mook.
Bleeding Strike;Rogue;Adventurer;Ongoing damage to large or huge targets is 1d6 per level instead.
Bleeding Strike;Rogue;Champion;A natural even miss deals ongoing damage equal to your level.
Bleeding Strike;Rogue;Epic;Can use bleeding strike against enemies taking ongoing damage.
Deadly Thrust;Rogue;Adventurer;Add your Str mod to miss damage.
Deadly Thrust;Rogue;Champion;You can now target mooks with deadly thrust attacks.
Deadly Thrust;Rogue;Epic;Add 5 x Strength mod to hit damage, if you don’t include Sneak Attack.
Death’s Twin;Rogue;Epic;If your first death’s twin attack is natural 18+, you can also target the same creature with your second attack.
Deflection;Rogue;Adventurer;Also triggers on a ranged attack vs. AC.
Deflection;Rogue;Champion;Deflected attack now deals full damage.
Deflection;Rogue;Epic;Using the power no longer spends your momentum.
Evasive Strike;Rogue;Adventurer;If you drop target, you can pop free from all foes.
Evasive Strike;Rogue;Champion;On a natural even hit, +2 bonus to AC and PD against the next attack.
Evasive Strike;Rogue;Epic;As champion feat, but now also +2 MD.
Flying Blade;Rogue;Adventurer;On a crit, target is also dazed.
Flying Blade;Rogue;Champion;Attack roll doesn’t have to be even for Sneak Attack damage.
Flying Blade;Rogue;Epic;Use flying blade with ranged weapons.
Roll With It;Rogue;Adventurer;Also triggers on attack vs. PD.
Roll With It;Rogue;Champion;Also triggers on a ranged attack.
Roll With It;Rogue;Epic;Once per day, take damage equal to attacker’s level instead of half damage.
Spiky Bastard;Rogue;Champion;Spiky bastard damage now applies while you’re staggered.
Spiky Bastard;Rogue;Epic;Spiky bastard damage is 15 instead of 10 when esc. die is 3+.
Sure Cut;Rogue;Champion;Missing with sure cut doesn’t count as a use of Sneak Attack damage.
Swift Dodge;Rogue;Champion;Also triggers on attack vs. PD.
Swift Dodge;Rogue;Epic;Rerolled attack takes a –2 penalty.
Swift Riposte;Rogue;Champion;If your attack crits, the enemy misses.
Swift Riposte;Rogue;Epic;Gain a +2 bonus with swift riposte attacks.
True Targeting;Rogue;Epic;Regain your momentum if the invisible enemy’s attack misses.
Breath weapon;Sorcerer;Adventurer;Failing a death save doesn’t cancel your breath weapon spells.
Gather Power;Sorcerer;Adventurer;Once per battle, you choose a chaotic benefit.
Gather Power;Sorcerer;Champion;Once per battle, gather power as a quick action if escalation die is 4+.
Gather Power;Sorcerer;Epic;Roll 2 chaotic benefits if escalation die is 2+.
Arcane Heritage;Sorcerer;Adventurer;Use Charisma as the attack ability for wizard spells.
Arcane Heritage;Sorcerer;Champion;Cast wizard spells empowered.
Blood Link;Sorcerer;Champion;Gain another relationship point with an icon in your heritage.
Chromatic Heritage;Sorcerer;Adventurer;Gain +2 attack bonus with empowered breath weapon spells.
Chromatic Heritage;Sorcerer;Champion;Once per day, turn a breath weapon re-use failure into a success.
Chromatic Heritage;Sorcerer;Epic;One battle per day, gain resist dragon attack 16+.
Fey Heritage;Sorcerer;Adventurer;Use your Fey Heritage power twice per day now.
Fey Heritage;Sorcerer;Champion;Gain a +2 attack bonus vs. elves and creatures in elven sphere of influence.
Fey Heritage;Sorcerer;Epic;Once per battle, gain racial ability of an elf race when esc. die is 6+.
Infernal Heritage;Sorcerer;Adventurer;Gain resistance 12+ to fire and one other damage type.
Infernal Heritage;Sorcerer;Champion;Increase one of your resistances to 16+.
Infernal Heritage;Sorcerer;Epic;You can enter a spell frenzy as free action for free if esc die is 5+.
Metallic Heritage;Sorcerer;Adventurer;Gain resist energy 12+ for rest of battle as quick action. You choose type.
Metallic Heritage;Sorcerer;Champion;When your chaotic benefit increases your defenses, apply it to an ally.
Metallic Heritage;Sorcerer;Epic;One battle per day, gain resist demon attack 16+ instead of resist energy.
Sorc’s Familiar;Sorcerer;Adventurer;Familiar gains another randomly changing ability.
Sorc’s Familiar;Sorcerer;Champion;Once per level, familiar can cast one of your expended spells.
Sorc’s Familiar;Sorcerer;Epic;Familiar gains another randomly changing ability.
